no_folio,tiempo_atm,tiempo_jet,tiempo_combi,tiempo_ht,tiempo_stork,tiempo_rama,metros_en_almacen,costo_atm,costo_jet,costo_com,costo_ht,costo_stork,costo_rama,vel_atm,vel_jet,vel_com,vel_ht,vel_stork,vel_rama
27654,0,0,0,0,88,119,2744.0,0.0,0.0,0.0,0.0,7236.361552035853,6405.475197812488,0,0,0,0,31.181818181818183,23.058823529411764
27653,0,0,0,0,79,118,2920.0,0.0,0.0,0.0,0.0,6496.279120577641,6351.647675141795,0,0,0,0,36.962025316455694,24.74576271186441
27652,0,0,0,0,72,131,3192.0,0.0,0.0,0.0,0.0,5920.659451665698,7051.405469860806,0,0,0,0,44.333333333333336,24.366412213740457
27641,0,0,0,0,84,183,2370.0,0.0,0.0,0.0,0.0,6907.436026943315,9850.436648736852,0,0,0,0,28.214285714285715,12.950819672131148
27645,0,0,0,0,83,276,3957.0,0.0,0.0,0.0,0.0,6825.20464567018,14856.396257111317,0,0,0,0,47.674698795180724,14.33695652173913
27671,0,0,0,0,23,82,420.0,0.0,0.0,0.0,0.0,1891.3217692820979,4413.856858996841,0,0,0,0,18.26086956521739,5.121951219512195
27657,0,0,0,0,58,174,2080.0,0.0,0.0,0.0,0.0,4769.420113841812,9365.988944700614,0,0,0,0,35.86206896551724,11.954022988505747
27658,0,0,0,0,71,188,2050.0,0.0,0.0,0.0,0.0,5838.428070392563,10119.574262090317,0,0,0,0,28.87323943661972,10.904255319148936
27659,0,0,0,0,70,197,2034.0,0.0,0.0,0.0,0.0,5756.196689119428,10604.021966126556,0,0,0,0,29.057142857142857,10.3248730964467
27660,0,0,0,0,78,164,2005.0,0.0,0.0,0.0,0.0,6414.047739304506,8827.713717993682,0,0,0,0,25.705128205128204,12.225609756097562
27668,0,0,0,0,82,191,2537.0,0.0,0.0,0.0,0.0,6742.973264397045,10281.056830102396,0,0,0,0,30.9390243902439,13.282722513089006
27672,0,0,0,0,99,239,1907.0,0.0,0.0,0.0,0.0,8140.906746040334,12864.77791829567,0,0,0,0,19.262626262626263,7.97907949790795
27673,0,0,0,0,56,114,1011.0,0.0,0.0,0.0,0.0,4604.957351295542,6136.337584459022,0,0,0,0,18.053571428571427,8.868421052631579
27675,0,0,0,0,105,209,2510.0,0.0,0.0,0.0,0.0,8634.295033679142,11249.952238174874,0,0,0,0,23.904761904761905,12.009569377990431
27674,0,0,0,0,126,270,2995.0,0.0,0.0,0.0,0.0,10361.154040414971,14533.431121087156,0,0,0,0,23.76984126984127,11.092592592592593
27677,0,0,0,0,67,114,1108.0,0.0,0.0,0.0,0.0,5509.502545300024,6136.337584459022,0,0,0,0,16.53731343283582,9.719298245614034
27647,0,0,0,0,0,221,1001.0,0.0,0.0,0.0,0.0,0.0,11895.882510223193,0,0,0,0,0,4.529411764705882
27655,0,0,0,0,0,210,2160.0,0.0,0.0,0.0,0.0,0.0,11303.779760845568,0,0,0,0,0,10.285714285714286
27656,0,0,0,0,0,238,2035.0,0.0,0.0,0.0,0.0,0.0,12810.950395624975,0,0,0,0,0,8.550420168067227
27665,0,0,0,0,0,79,1190.0,0.0,0.0,0.0,0.0,0.0,4252.374290984761,0,0,0,0,0,15.063291139240507
27664,0,0,0,0,0,129,1771.0,0.0,0.0,0.0,0.0,0.0,6943.75042451942,0,0,0,0,0,13.728682170542635
27676,0,0,0,0,0,193,2030.0,0.0,0.0,0.0,0.0,0.0,10388.711875443782,0,0,0,0,0,10.518134715025907
27682,0,0,0,0,0,136,2035.0,0.0,0.0,0.0,0.0,0.0,7320.543083214272,0,0,0,0,0,14.963235294117647
27680,0,0,0,0,0,206,1033.0,0.0,0.0,0.0,0.0,0.0,11088.469670162795,0,0,0,0,0,5.014563106796117
27663,0,0,0,0,0,254,2490.0,0.0,0.0,0.0,0.0,0.0,13672.190758356068,0,0,0,0,0,9.803149606299213
27651,0,0,466,0,0,65,1611.0,0.0,0.0,24174.567350142628,0.0,0.0,3498.7889735950566,0,0,3.4570815450643777,0,0,24.784615384615385
27633,0,60,0,0,0,236,1940.0,0.0,3008.487161405975,0.0,0.0,0.0,12703.29535028359,0,32.333333333333336,0,0,0,8.220338983050848
27648,0,0,0,0,0,126,1138.0,0.0,0.0,0.0,0.0,0.0,6782.267856507341,0,0,0,0,0,9.031746031746032
27661,0,0,0,0,0,233,2020.0,0.0,0.0,0.0,0.0,0.0,12541.81278227151,0,0,0,0,0,8.669527896995708
27662,0,0,0,0,0,132,359.0,0.0,0.0,0.0,0.0,0.0,7105.232992531499,0,0,0,0,0,2.7196969696969697
27666,0,0,0,410,0,200,1978.0,0.0,0.0,0.0,20589.10699798971,0.0,10765.504534138636,0,0,0,4.824390243902439,0,9.89
27667,0,0,0,0,0,280,2079.0,0.0,0.0,0.0,0.0,0.0,15071.70634779409,0,0,0,0,0,7.425
