MORAL TEXTIL SA DE CV,,,,,,,
Gtos de Fabricacion MT Junio 2023,,,,,,,
tipo,poliza,fecha,cargos,concepto,procedencia,cuenta,nombre
Diario,88,01/06/2023, 438.46 ,Compras del 01/06/2023,Automática modificada,560102206,Agua Purificada al Personal
Diario,90,03/06/2023, 161.32 ,Compras del 03/06/2023,Automática,560102206,Agua Purificada al Personal
Diario,93,07/06/2023, 157.18 ,Compras del 07/06/2023,Automática,560102206,Agua Purificada al Personal
Diario,95,09/06/2023, 99.27 ,Compras del 09/06/2023,Automática,560102206,Agua Purificada al Personal
Diario,97,13/06/2023, 86.86 ,Compras del 13/06/2023,Automática,560102206,Agua Purificada al Personal
Diario,100,16/06/2023, 148.91 ,Compras del 16/06/2023,Automática,560102206,Agua Purificada al Personal
Diario,103,21/06/2023, 140.64 ,Compras del 21/06/2023,Automática,560102206,Agua Purificada al Personal
Diario,107,27/06/2023, 148.91 ,Compras del 27/06/2023,Automática,560102206,Agua Purificada al Personal
Diario,110,30/06/2023, 206.82 ,Compras del 30/06/2023,Automática,560102206,Agua Purificada al Personal
Diario,86,30/06/2023, 461.53 ,Amortizaciones del mes de Mayo 2023,Manual,560101010,Aguinaldos
Diario,147,30/06/2023," 79,494.91 ",Depreciaciones del mes de Junio 2023,Manual,560121111,Amortización de Gastos de Instalación
Diario,88,01/06/2023," 1,757.96 ",Compras del 01/06/2023,Automática modificada,560102205,Apoyo Transporte de Personal
Diario,93,07/06/2023, 656.00 ,Compras del 07/06/2023,Automática,560102205,Apoyo Transporte de Personal
Diario,95,09/06/2023, 369.98 ,Compras del 09/06/2023,Automática,560102205,Apoyo Transporte de Personal
Diario,97,13/06/2023, 332.99 ,Compras del 13/06/2023,Automática,560102205,Apoyo Transporte de Personal
Diario,99,15/06/2023, 111.00 ,Compras del 15/06/2023,Automática,560102205,Apoyo Transporte de Personal
Diario,100,16/06/2023, 141.00 ,Compras del 16/06/2023,Automática,560102205,Apoyo Transporte de Personal
Diario,103,21/06/2023, 840.99 ,Compras del 21/06/2023,Automática,560102205,Apoyo Transporte de Personal
Diario,108,28/06/2023, 443.99 ,Compras del 28/06/2023,Automática,560102205,Apoyo Transporte de Personal
